episod,total_reward
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
a,c,t,i,o,n
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
a,c,t,i,o,n
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
a,c,t,i,o,n
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
a,c,t,i,o,n
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
a,c,t,i,o,n
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
a,c,t,i,o,n
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
a,c,t,i,o,n
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
a,c,t,i,o,n
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
a,c,t,i,o,n
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
a,c,t,i,o,n
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
a,c,t,i,o,n
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
a,c,t,i,o,n
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
a,c,t,i,o,n
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
a,c,t,i,o,n
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
a,c,t,i,o,n
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
a,c,t,i,o,n
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
a,c,t,i,o,n
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
a,c,t,i,o,n
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
a,c,t,i,o,n
0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
0.18322283,0.14237353,0.19120055,0.14531296,0.15195006,0.18594003
a,c,t,i,o,n
0.18322283,0.14237353,0.19120055,0.14531296,0.15195006,0.18594003
0.17721233,0.15430681,0.17685501,0.14648575,0.15844536,0.18669474
a,c,t,i,o,n
0.17721233,0.15430681,0.17685501,0.14648575,0.15844536,0.18669474
0.17721233,0.15430681,0.17685501,0.14648575,0.15844536,0.18669474
a,c,t,i,o,n
0.17721233,0.15430681,0.17685501,0.14648575,0.15844536,0.18669474
0.17721233,0.15430681,0.17685501,0.14648575,0.15844536,0.18669474
a,c,t,i,o,n
0.17721233,0.15430681,0.17685501,0.14648575,0.15844536,0.18669474
0.17721233,0.15430681,0.17685501,0.14648575,0.15844536,0.18669474
a,c,t,i,o,n
0.17721233,0.15430681,0.17685501,0.14648575,0.15844536,0.18669474
0.17721233,0.15430681,0.17685501,0.14648575,0.15844536,0.18669474
a,c,t,i,o,n
0.17721233,0.15430681,0.17685501,0.14648575,0.15844536,0.18669474
0.17721233,0.15430681,0.17685501,0.14648575,0.15844536,0.18669474
a,c,t,i,o,n
0.17721233,0.15430681,0.17685501,0.14648575,0.15844536,0.18669474
0.17721233,0.15430681,0.17685501,0.14648575,0.15844536,0.18669474
a,c,t,i,o,n
0.17721233,0.15430681,0.17685501,0.14648575,0.15844536,0.18669474
0.17721233,0.15430681,0.17685501,0.14648575,0.15844536,0.18669474
a,c,t,i,o,n
0.17721233,0.15430681,0.17685501,0.14648575,0.15844536,0.18669474
0.17721233,0.15430681,0.17685501,0.14648575,0.15844536,0.18669474
a,c,t,i,o,n
0.17721233,0.15430681,0.17685501,0.14648575,0.15844536,0.18669474
0.17721233,0.15430681,0.17685501,0.14648575,0.15844536,0.18669474
a,c,t,i,o,n
0.17721233,0.15430681,0.17685501,0.14648575,0.15844536,0.18669474
0.17721233,0.15430681,0.17685501,0.14648575,0.15844536,0.18669474
a,c,t,i,o,n
0.17721233,0.15430681,0.17685501,0.14648575,0.15844536,0.18669474
0.17721233,0.15430681,0.17685501,0.14648575,0.15844536,0.18669474
a,c,t,i,o,n
0.17721233,0.15430681,0.17685501,0.14648575,0.15844536,0.18669474
0.17721233,0.15430681,0.17685501,0.14648575,0.15844536,0.18669474
a,c,t,i,o,n
0.17721233,0.15430681,0.17685501,0.14648575,0.15844536,0.18669474
0.17721233,0.15430681,0.17685501,0.14648575,0.15844536,0.18669474
a,c,t,i,o,n
0.17721233,0.15430681,0.17685501,0.14648575,0.15844536,0.18669474
